locationId,providerId,locationName,registrationStatus,registrationDate,addressLine1,town,postcode,region,localAuthority,constituency,latitude,longitude,phoneNumber,regulatedActivities,gacServiceTypes,overallRating,overallRatingDate,numberOfBeds,website
1-15871204929,1-11003990637,Victory Locum Limited Kent,Registered,18/05/2023,"Office 3, Suite 3B, Beta House",Rochester,ME2 4HU,South East,Medway,Rochester and Strood,51.3926136,0.512968,7369214068,Personal care,Homecare agencies,,,0,www.victorylocum.com
1-15914854975,1-15231179533,Kem Healthcare And Consulting Ltd,Registered,02/08/2023,Flat 5,Chatham,ME4 4EQ,South East,Medway,Rochester and Strood,51.3831542,0.5187313,1634943300,Personal care,Homecare agencies,,,0,
1-15920617478,1-15252521803,Respect 4Care Ltd,Registered,08/06/2023,122 High Street,Herne Bay,CT6 5JY,South East,Kent,Herne Bay and Sandwich,51.3711799,1.1271841,1227532296,Personal care,Homecare agencies,,,0,
1-15920632534,1-15124880927,Shamrock Road,Registered,22/06/2023,40 Shamrock Road,Gravesend,DA12 2LH,South East,Kent,Gravesham,51.436918,0.3947278,7575154975,Personal care,Homecare agencies,,,0,
1-159640070,1-131465019,"Bluebird Care (Maidstone, Tonbridge & Royal Tunbridge Wells)",Registered,25/01/2011,47 The Terrace,Gravesend,DA12 2DL,South East,Kent,Gravesham,51.4434422,0.3751422,1622618786,Personal care,Homecare agencies,Good,24/04/2019,0,www.bluebirdcare.co.uk
1-16293463323,1-15331585090,S and N Care Ltd,Registered,13/06/2023,26 Kings Hill Avenue,West Malling,ME19 4AE,South East,Kent,Maidstone and Malling,51.276847,0.396749,,Personal care,Homecare agencies,,,0,www.sn-care.com
1-16297565700,1-15389880500,121 Rochester Avenue,Registered,13/07/2023,121 Rochester Avenue,Rochester,ME1 2DR,South East,Medway,Rochester and Strood,51.3812918,0.5061686,,Personal care,Homecare agencies,,,0,
1-163076320,1-101681421,Anchor Domiciliary Care,Registered,25/01/2011,126 High Street,Rochester,ME2 4TR,South East,Medway,Rochester and Strood,51.3961113,0.4921702,1634297777,Personal care,Homecare agencies; Supported living,Good,24/11/2018,0,
1-16309567410,1-15076234656,"Maidstone, Kent",Registered,14/06/2023,17 Saltwood Road,Maidstone,ME15 6UY,South East,Kent,Maidstone and Malling,51.2603694,0.5201258,7876733136,Personal care,Homecare agencies,,,0,www.eclhealthcare.co.uk
1-16380703575,1-15226698538,Chime Care Limited,Registered,21/06/2023,F10 Crown House,Dartford,DA1 1DZ,South East,Kent,Dartford,51.4460743,0.2202345,2080499776,Personal care,Homecare agencies,,,0,www.chimecare.co.uk
1-16429710087,1-15354145195,Dunamis Consultancy Ltd,Registered,21/07/2023,"G04, The Nucleus",Dartford,DA1 5GA,South East,Kent,Dartford,51.4608804,0.2308877,1322475021,Personal care,Homecare agencies,,,0,www.dunamisconsultancy.com
1-16438193852,1-15061324997,Dominion Logic Services,Registered,30/06/2023,2 Breeze Meadow,Faversham,ME13 7FZ,South East,Kent,Faversham and Mid Kent,51.3174403,0.8682413,3300436303,Personal care,Homecare agencies; Supported living,,,0,
1-16531343828,1-15183152611,Mission Health UK Limited,Registered,20/07/2023,Regus House,Dartford,DA2 6QD,South East,Kent,Dartford,51.455655,0.248784,778267809,Personal care,Homecare agencies,,,0,www.mission-health.co.uk
1-16531344371,1-15828227519,Adenosh Limited,Registered,25/07/2023,107 Saxton Street,Gillingham,ME7 5EG,South East,Medway,Gillingham and Rainham,51.3860637,0.5426498,7722399774,"Personal care; Treatment of disease, disorder or injury",Homecare agencies; Supported living,,,0,www.adenoshlimited.co.uk
1-1655211855,1-1602725931,Avelo Care,Registered,18/09/2014,Unit 28 Maple Leaf Business Park,Ramsgate,CT12 5GD,South East,Kent,Herne Bay and Sandwich,51.3497726,1.3238451,1843307067,Personal care,Homecare agencies,Good,12/04/2023,0,www.avelocare.co.uk
1-16580302911,1-12731339341,East Kent Mencap,Registered,14/08/2023,Foresters Hall,Ramsgate,CT11 9RT,South East,Kent,East Thanet,51.3350847,1.4161958,1843808964,Personal care,Homecare agencies; Supported living,,,0,www.eastkentmencap.co.uk
1-166512051,1-139035676,Kent Social Care Professionals Domiciliary Service,Registered,03/02/2011,2 Woodville Road,Maidstone,ME15 7BS,South East,Kent,Maidstone and Malling,51.26591,0.5267685,1622764014,Personal care,Homecare agencies,Requires improvement,21/10/2021,0,www.kentscp.com
1-16967062508,1-11633500380,Hayley Lodge,Registered,26/09/2023,50 London Road,Canterbury,CT2 8LF,South East,Kent,Canterbury,51.2828302,1.0663728,1227851548,Personal care,Supported living,,,0,www.cittacare.co.uk/
1-17056933267,1-15827591330,Primrose Community Healthcare Limited Office,Registered,09/08/2023,2 Hobourn House,Rochester,ME2 2EG,South East,Medway,Rochester and Strood,51.3915882,0.4901319,7778712710,"Personal care; Treatment of disease, disorder or injury",Homecare agencies,,,0,www.pch-care.com
1-17062321393,1-15956745905,Pensal Healthcare,Registered,17/08/2023,33 Buttercup Avenue,Sheerness,ME12 3FX,South East,Kent,Sittingbourne and Sheppey,51.4131296,0.8018632,1795870923,Personal care,Homecare agencies,,,0,
1-17188580719,1-101666330,Forge House Care West Kent,Registered,21/09/2023,44 - 52 Queens Road,Gillingham,ME7 4LP,South East,Medway,Gillingham and Rainham,51.3822434,0.5492221,,Personal care,Supported living,,,0,
1-17191603159,1-16352165698,The Right Healthcare Services Ltd,Registered,03/10/2023,7 The Boardwalk,Gillingham,ME7 1FU,South East,Medway,Gillingham and Rainham,51.3962254,0.5567934,7478879615,Personal care,Homecare agencies,,,0,
1-17194800341,1-16380343102,Comfort at Home Care,Registered,05/10/2023,15 The Chimes,Rochester,ME3 9JF,South East,Medway,Rochester and Strood,51.427317,0.5607856,,Personal care,Homecare agencies,,,0,
1-17193849731,1-15892682101,Head Office,Registered,18/09/2023,Avenue Business Centre,Chatham,ME4 6BA,South East,Medway,Rochester and Strood,51.38241,0.520716,7863711244,Personal care,Homecare agencies,,,0,www.begoodcare.com
1-17375373149,1-16380343204,Complete Home Care,Registered,15/09/2023,171 Lunsford Lane,Aylesford,ME20 6HP,South East,Kent,Chatham and Aylesford,51.3048104,0.4328272,7305338489,Personal care,Homecare agencies,,,0,www.completehomecarekent.com
1-17376730380,1-15839920663,Heights Healthcare Ltd,Registered,27/10/2023,Flat 3b The Old Library,Maidstone,ME14 1LH,South East,Kent,Maidstone and Malling,51.2757788,0.5195654,7960167156,"Personal care; Treatment of disease, disorder or injury",Homecare agencies,,,0,
1-17517236485,1-397085785,The Shrubbery,Registered,21/09/2023,43-45,Gillingham,ME7 4AQ,South East,Medway,Gillingham and Rainham,51.3752014,0.5558,1634717085,Personal care; Accommodation for persons who require nursing or personal care,Residential homes; Homecare agencies,,,28,
1-17583291130,1-16380343043,Ceaseless Care Limited,Registered,21/09/2023,Regus House,Dartford,DA2 6QD,South East,Kent,Dartford,51.455655,0.248784,2082281112,Personal care,Homecare agencies,,,0,www.ceaselesscarelimited.co.uk
1-17584306524,1-6286043657,Deluxe Healthcare Services,Registered,21/09/2023,3 Abberley Park,Maidstone,ME14 5GD,South East,Kent,Maidstone and Malling,51.2810758,0.5366449,7985464021,Personal care,Homecare agencies; Supported living,,,0,www.deluxehealthcare.co.uk
1-17585208609,1-15977891917,Lagracious Healthcare Limited,Registered,21/09/2023,11 Quartz Way,Sittingbourne,ME10 5AA,South East,Kent,Sittingbourne and Sheppey,51.3510317,0.716435,7508073742,Personal care,Homecare agencies,,,0,
1-17590652985,1-15929539051,Elite At Home,Registered,21/09/2023,Unit 4a,Margate,CT9 5QX,South East,Kent,Herne Bay and Sandwich,51.3825485,1.3703801,1843636188,Personal care,Homecare agencies,,,0,
1-17708690875,1-9770247686,Alder Associates Office,Registered,03/10/2023,167a John Wilson Business Park,Whitstable,CT5 3RA,South East,Kent,Canterbury,51.3577596,1.0563511,1227287878,"Personal care; Treatment of disease, disorder or injury",Homecare agencies,,,0,www.alderassociates.co.uk
1-17708913669,1-8530414348,131 Trafalgar Street,Registered,05/10/2023,131 Trafalgar Street,Gillingham,ME7 4RP,South East,Medway,Gillingham and Rainham,51.3837154,0.5495763,1634577566,Personal care,Homecare agencies,,,0,www.rehobothnursingagency.com/
1-17712996285,1-16309712510,Care Infinity Solutions - Main Office,Registered,09/10/2023,11 Blacksmith Lane,Rochester,ME3 9XW,South East,Medway,Rochester and Strood,51.4218247,0.5717798,7743170793,Personal care,Homecare agencies; Supported living,,,0,
1-17715971456,1-15861410575,Mavin Care Ltd,Registered,11/10/2023,3 Kestrel House,Maidstone,ME15 6LU,South East,Kent,Maidstone and Malling,51.2709572,0.5238906,7555141220,Personal care,Homecare agencies,,,0,
1-17716385805,1-15218587646,Bluetop Care Ltd,Registered,19/10/2023,99 Laburnum Road,Rochester,ME2 2LB,South East,Medway,Rochester and Strood,51.3874286,0.474175,,Personal care,Homecare agencies; Supported housing; Shared lives; Supported living,,,0,
1-17717913865,1-15112158561,Forever Care Agency,Registered,13/10/2023,"Unit 1, Swanscombe Business Centre",Swanscombe,DA10 0LH,South East,Kent,Dartford,51.4505049,0.3074133,2034323825,Personal care,Homecare agencies,,,0,www.forever-care.co.uk
1-17717941515,1-15925567598,Gillingham Park House,Registered,18/10/2023,260-262,Gillingham,ME7 4NA,South East,Medway,Gillingham and Rainham,51.376362,0.5518155,1634572244,Personal care,Supported living,,,0,
1-17889810875,1-177568286,Austen Allen Homecare - East Kent,Registered,25/10/2023,"Unit 5a, Westmount House",Margate,CT9 2RP,South East,Kent,East Thanet,51.3875101,1.3979015,1322424558,Personal care,Homecare agencies,,,0,www.aa-homecare.co.uk
1-17926392343,1-14260079497,Shabanie Socio-Healthcare Services Limited Head Office,Registered,06/12/2023,"Office no 102P, Victoria Way, Admirals Park, Crossways Dartford",Dartford,DA2 6QD,South East,Kent,Dartford,51.4556549,0.2488126,,Personal care,Homecare agencies,,,0,shabanieshc.co.uk/
1-17933730547,1-13121748167,Rela Support Services Ltd,Registered,31/10/2023,Suite 7 Aja Business Centre,Medway,ME1 3EZ,South East,Kent,Chatham and Aylesford,51.350053,0.501303,1634964350,Personal care,Homecare agencies,,,0,www.relasupportservices.co.uk
1-17967535610,1-15976462304,Savanna Living Limited,Registered,07/12/2023,128 Blean Common,Canterbury,CT2 9JJ,South East,Kent,Canterbury,51.310455,1.0387534,7557340270,Personal care,Homecare agencies; Supported living,,,0,savannaliving.co.uk
1-18125956823,1-16514929188,Right at Home Bexley & Dartford,Registered,21/11/2023,"G07a, The Nucleus",Dartford,DA1 5GA,South East,Kent,Dartford,51.4608803,0.2308878,1322933933,Personal care,Homecare agencies,,,0,
1-18187042445,1-15982319973,Infinite Oasis Healthcare Ltd,Registered,30/11/2023,47 Old Park Avenue,Canterbury,CT1 1DN,South East,Kent,Canterbury,51.2876968,1.0992726,7415348607,Personal care,Homecare agencies; Supported living,,,0,www.iohealthcare.org
1-18281743104,1-14848960191,Channel Community Care Ltd,Registered,12/01/2024,Ingles Manor,Folkestone,CT20 2RD,South East,Kent,Folkestone and Hythe,51.0800314,1.1685018,1303856100,Personal care,Homecare agencies,,,0,
1-18283233177,1-15978034586,CS Hub Limited,Registered,12/01/2024,Pluto House,Tunbridge Wells,TN1 1DJ,South East,Kent,Tunbridge Wells,51.1301738,0.2615624,1892342712,Personal care,Homecare agencies; Supported living,,,0,
1-18316880765,1-16423529785,Joyous Healthcare (UK) Ltd,Registered,12/01/2024,5A Centre Court Sir Thomas Longley Road,Rochester,ME2 4AZ,South East,Medway,Rochester and Strood,51.4011334,0.5111347,,Personal care,Homecare agencies,,,0,
1-18386960146,1-16969325032,Right Haven for Care Ltd,Registered,03/01/2024,Suite 308 Kingsley House,Gillingham,ME7 4NT,South East,Medway,Gillingham and Rainham,51.3863986,0.5503574,7411799091,Personal care,Homecare agencies,,,0,
1-18326398956,1-178020471,Chameleon Care Ltd (Dover),Registered,20/12/2023,"1st Floor, St Radigunds Community Centre",Dover,CT17 0HL,South East,Kent,Dover and Deal,51.1322146,1.2789684,1304215382,"Personal care; Treatment of disease, disorder or injury",Homecare agencies,Good,20/02/2020,0,www.chameleoncares.co.uk/
1-1839769798,1-233583072,Hamilton House,Registered,02/01/2015,84-86 High Street,Gillingham,ME8 7JH,South East,Medway,Gillingham and Rainham,51.3632602,0.6077631,1634780909,Personal care,Homecare agencies,Good,23/03/2019,0,www.bluebirdcare.co.uk
1-18388171774,1-16899478826,GoodOaks Homecare - South Kent,Registered,04/01/2024,"The Panorama,",Ashford,TN24 8DF,South East,Kent,Ashford,51.1501259,0.8744864,1233221500,Personal care,Homecare agencies,,,0,www.goodoakshomecare.co.uk/southkent
1-18444528725,1-16982952995,Vitality Support Ltd,Registered,18/01/2024,19 Rochester Crescent,Rochester,ME3 9JH,South East,Medway,Rochester and Strood,51.4262808,0.5571205,7828070407,Personal care,Homecare agencies,,,0,www.vitalitysupport.co.uk
1-18445130262,1-17193845765,Caremore Companions,Registered,09/02/2024,Sevenoaks Business Hub,Sevenoaks,TN13 3QG,South East,Kent,Sevenoaks,51.2866489,0.1893021,7721131299,Personal care,Homecare agencies,,,0,www.caremorecompanions.co.uk/
1-18445823045,1-14963803961,Mental Capacity Consult Ltd,Registered,18/01/2024,198 St. Williams Way,Rochester,ME1 2PF,South East,Medway,Rochester and Strood,51.3693309,0.5086763,1634926062,Personal care,Homecare agencies,,,0,www.mentalcapacityconsult.co.uk
1-18446238406,1-17190593369,Ancora Care Limited,Registered,07/02/2024,The Whitewall Centre,Rochester,ME2 4DZ,South East,Medway,Rochester and Strood,51.3997814,0.5095942,1634553381,Personal care,Homecare agencies,,,0,www.ancoracare.co.uk
1-1856969684,1-101673170,Boldglen Limited Medway Swale,Registered,14/01/2015,The Oast,Sittingbourne,ME10 4HE,South East,Kent,Sittingbourne and Sheppey,51.330997,0.732296,1634389555,Personal care,Homecare agencies,Requires improvement,28/04/2023,0,www.boldglen.co.uk
1-18626484263,1-16460373380,A.O.O Care Services Limited,Registered,09/02/2024,"Basepoint, The Joinery Workshop",Chatham,ME4 4TZ,South East,Medway,Rochester and Strood,51.3950364,0.5283774,7958295027,Personal care,Homecare agencies,,,0,
1-18623602318,1-17056667655,PFC Care Ltd,Registered,09/02/2024,Frenchmans Field,Hythe,CT21 5BZ,South East,Kent,Folkestone and Hythe,51.0732239,1.0747181,1303260742,Personal care,Homecare agencies; Supported living,,,0,
1-18638849782,1-17369898293,Pcash Healthcare Limited,Registered,07/02/2024,Unit 1-2,Ashford,TN24 8DF,South East,Kent,Ashford,51.1501259,0.8744864,1233624835,Personal care,Homecare agencies; Supported living,,,0,www.pcashrecruitment.co.uk
1-18692988875,1-17188246653,Care Solutions Kent,Registered,13/02/2024,19 Shoebridge Drive,Maidstone,ME17 3FF,South East,Kent,Faversham and Mid Kent,51.2384697,0.568664,7469188835,Personal care,Homecare agencies,,,0,www.caresolutionskent.co.uk
1-18706949934,1-17069688305,Temal Healthcare Agency Ltd,Registered,13/02/2024,"Unit 11, Evans Business Centre 1-2",Canterbury,CT3 4AL,South East,Kent,Herne Bay and Sandwich,51.3171889,1.1746675,1227953129,Personal care,Homecare agencies,,,0,
1-18829157174,1-18016830808,Rey Healthcare Services Ltd,Registered,01/03/2024,2 Juno Way,Rochester,ME3 8FD,South East,Medway,Rochester and Strood,51.413965,0.5148605,7737305855,Personal care,Homecare agencies,,,0,www.reyhealthcare.co.uk
1-18906143688,1-172521302,Yourlife (Canterbury),Registered,12/03/2024,Eastry Place,Canterbury,CT1 3AT,South East,Kent,Canterbury,51.2740748,1.0896846,1202292480,Personal care,Homecare agencies,,,0,
1-18935235373,1-8843252306,Deenex Intl Limited T/A Greenbanks Heritage,Registered,20/03/2024,"Office 3, Lansdown House",Gravesend,DA11 8QX,South East,Kent,Gravesham,51.4340712,0.3522947,,Personal care,Supported living,,,0,
1-18943646041,1-17429093149,Lakem Care Ltd,Registered,15/03/2024,The Oast,Sittingbourne,ME10 4HE,South East,Kent,Sittingbourne and Sheppey,51.330997,0.732296,2035763834,Personal care,Homecare agencies,,,0,
1-18951167558,1-17595045555,S&R Care Services LTD,Registered,26/03/2024,"Office 8, GPM Business Centre",Ramsgate,CT12 6PB,South East,Kent,East Thanet,51.3492915,1.3872463,1843627073,Personal care,Homecare agencies,,,0,www.sr-consultancy.co.uk
1-18969997467,1-18487934374,Kisumen Care Services Ltd,Registered,22/03/2024,386a High Street,Chatham,ME4 4NP,South East,Medway,Rochester and Strood,51.3789748,0.5336053,7401447180,Personal care,Homecare agencies; Supported living,,,0,www.kisumencareservices.co.uk
1-18986291941,1-6520268016,A Rated Homecare Ltd,Registered,20/03/2024,47 Linton Road,Maidstone,ME15 0AG,South East,Kent,Weald of Kent,51.2382126,0.5178537,1622674127,Personal care,Homecare agencies,Good,30/06/2022,0,www.aratedhomecare.co.uk
1-19033519501,1-15068808797,Win-Ablement Care Service - Main Office,Registered,08/04/2024,"Beta House, Laser Quay",Rochester,ME2 4HU,South East,Medway,Rochester and Strood,51.3926136,0.512968,,Personal care,Homecare agencies,,,0,
1-19060296768,1-13833937575,Eunison Care Ltd Office,Registered,18/04/2024,Admirals Park,Dartford,DA2 6QD,South East,Kent,Dartford,51.455655,0.248784,2038266178,"Personal care; Treatment of disease, disorder or injury",Homecare agencies,,,0,www.eunisoncare.com
1-19060342177,1-17409149842,MEMADAY CARE LIMITED,Registered,19/04/2024,07-Aug,Chatham,ME4 6BB,South East,Medway,Rochester and Strood,51.3825933,0.5181366,7429429892,Personal care,Homecare agencies,,,0,
1-19061785486,1-15828213585,Here-To-Serve HTS Care Ltd,Registered,01/05/2024,The Nook,Chatham,ME5 9JG,South East,Kent,Faversham and Mid Kent,51.3290428,0.5393152,7362200570,Personal care,Homecare agencies,,,0,
1-19068312408,1-17715823766,Triple Hearts Care Ltd,Registered,13/05/2024,Regus,Dartford,DA2 6QD,South East,Kent,Dartford,51.4556549,0.2488126,7852515784,Personal care,Homecare agencies,,,0,www.tripleheartscare.com
1-19196861934,1-16463905841,Tobea Support Ltd,Registered,25/04/2024,The Office,Rochester,ME1 2UT,South East,Medway,Chatham and Aylesford,51.3639956,0.5088922,7379863123,Personal care,Homecare agencies,,,0,
1-1921107882,1-102643044,Avenues South East Services (ASES),Registered,02/02/2015,"Suite A, The Stable Block, Bradbourne House",West Malling,ME19 6DZ,South East,Kent,Maidstone and Malling,51.294917,0.44193,1732448634,Personal care,Homecare agencies; Supported living,Outstanding,19/11/2022,0,www.avenuesgroup.org.uk
1-19209938215,1-17576663890,SoarStar Ltd,Registered,22/04/2024,2 Tolputt Close,Canterbury,CT1 3AE,South East,Kent,Canterbury,51.2670288,1.0606357,7369203695,Personal care,Homecare agencies,,,0,www.soarstar.co.uk
1-19231109879,1-14157746094,H&R Domiciliary Care Limited,Registered,17/06/2024,12 East Street,Sittingbourne,ME10 4RT,South East,Kent,Sittingbourne and Sheppey,51.339043,0.7413181,1795701108,Personal care,Homecare agencies,,,0,
1-19238830265,1-17709620955,Grow Care Agency Limited,Registered,13/05/2024,6 Humble Walk,Swanscombe,DA10 1DR,South East,Kent,Dartford,51.4323767,0.3113534,7412556546,Personal care,Homecare agencies; Supported living,,,0,
1-19244755835,1-16323991032,Timesurg Healthcare Services,Registered,12/05/2024,105 Darnley Road,Gravesend,DA11 0SQ,South East,Kent,Gravesham,51.4376501,0.3631067,,Personal care,Homecare agencies,,,0,
1-19260729386,1-16541270411,Folex Care Limited,Registered,20/05/2024,"Regus The Panorama, Park Street",Kent,TN24 8EZ,South East,Kent,Ashford,51.15054,0.875092,,"Personal care; Treatment of disease, disorder or injury",Homecare agencies; Supported living,,,0,
1-19266089580,1-101677449,LDC Care Co Supported Living - Birch Tree,Registered,08/05/2024,109 Barton Road,Dover,CT16 2LX,South East,Kent,Dover and Deal,51.1348586,1.306108,1303276000,Personal care,Homecare agencies; Supported living,,,0,www.ldccare.co.uk
1-19274092795,1-6192052130,Royal Care Dover,Registered,07/05/2024,Unit 5 Poulton Business Park,Dover,CT17 0HL,South East,Kent,Dover and Deal,51.1301474,1.2859932,7947386375,Personal care,Homecare agencies,Good,15/07/2023,0,www.royalcare24.co.uk
1-19286339766,1-15772567241,Agape Medical Health Care Ltd,Registered,16/05/2024,C4 The Hillhub,Dartford,DA1 2JH,South East,Kent,Dartford,51.4444522,0.2123269,1322473312,Personal care,Homecare agencies; Supported living,,,0,www.agapemedicalcare.co.uk
1-19313641874,1-101677449,LDC Care Co Supported Living - Willow Tree,Registered,08/05/2024,109 Barton Road,Dover,CT16 2LX,South East,Kent,Dover and Deal,51.1348586,1.306108,1303276000,Personal care,Supported living,,,0,www.ldccare.co.uk/
1-19321224706,1-17963295556,Better Families Social Work Services Ltd,Registered,21/05/2024,10 Stone Street,Gravesend,DA11 0NH,South East,Kent,Gravesham,51.4418562,0.3690734,7856912437,Personal care,Homecare agencies; Supported living,,,0,www.bfsws.org
1-19377067427,1-18065455046,Abitol Services Limited,Registered,13/06/2024,32A Admirals Park,Dartford,DA2 6QD,South East,Kent,Dartford,51.4546733,0.2488795,,"Personal care; Treatment of disease, disorder or injury",Homecare agencies; Supported living,,,0,
1-19383615093,1-2058412271,MyLife (Kent),Registered,24/06/2024,"Suite 1b, Orchard House",Canterbury,CT2 8AJ,South East,Kent,Canterbury,51.282255,1.072487,1227937780,Personal care,Homecare agencies,,,0,
1-19425132795,1-18041596091,All Loving Support (Maidstone),Registered,29/05/2024,Flat 2,Maidstone,ME15 9GP,South East,Kent,Faversham and Mid Kent,51.2427664,0.5569971,,Personal care,Homecare agencies,,,0,
1-19505365883,1-17927659104,Providence Lodge - Main Office,Registered,25/06/2024,35 Ellis Field,Maidstone,ME15 8YL,South East,Kent,Faversham and Mid Kent,51.2459655,0.5681556,,Personal care,Supported living,,,0,
1-19565092675,1-19550031458,P2P Care Support,Registered,15/07/2024,21 Darnley Road,Gravesend,DA11 0RZ,South East,Kent,Gravesham,51.4407829,0.3648442,2039542222,Personal care,Homecare agencies; Supported living,,,0,
1-19567687220,1-18190213988,WHOLEBEING CARE LIMITED,Registered,17/07/2024,47 Rochester Crescent,Rochester,ME3 9JH,South East,Medway,Rochester and Strood,51.4273633,0.5558036,7878541617,Personal care,Homecare agencies,,,0,
1-19611741152,1-10242275665,Stellar Care Support Limited,Registered,09/07/2024,Regus House,Dartford,DA2 6QD,South East,Kent,Dartford,51.4556549,0.2488126,,Personal care,Homecare agencies,,,0,
1-19675012615,1-18288624801,SureCare Swale,Registered,29/07/2024,Wises Oast,Sittingbourne,ME9 8LR,South East,Kent,Sittingbourne and Sheppey,51.3387694,0.7058433,,Personal care,Homecare agencies,,,0,
1-19681773967,1-18185373400,Akwaaba Care Services Recruitment,Registered,18/07/2024,Pluto House,Tunbridge Wells,TN1 1DJ,South East,Kent,Tunbridge Wells,51.1301738,0.2615624,7717123736,Personal care,Homecare agencies,,,0,
1-19688616295,1-16442101240,Platinum Quality Ltd,Registered,11/07/2024,61 Castlemaine Avenue,Gillingham,ME7 2QB,South East,Medway,Gillingham and Rainham,51.3891892,0.5662478,7946572764,Personal care,Homecare agencies,,,0,
1-19701254355,1-17194943349,Compassion Health Care Staffing Services Limited,Registered,11/07/2024,"Suite M4, Old Library",Maidstone,ME14 1LH,South East,Kent,Maidstone and Malling,51.2757788,0.5195654,7824775436,Personal care,Homecare agencies; Supported living,,,0,compassionhealthcare.co.uk
1-19800585835,1-4885291488,Scodef Care,Registered,17/07/2024,36 Biggin Street,Dover,CT16 1BU,South East,Kent,Dover and Deal,51.1264073,1.3123082,1304768515,Personal care,Homecare agencies,,,0,
1-1980967407,1-1772846870,Meritum Integrated Care LLP (Ashford),Registered,10/04/2015,Sycamore House,Willesborough,TN24 0NR,South East,Kent,Ashford,51.1436013,0.9065054,1233620071,Personal care,Homecare agencies,Good,30/11/2018,0,www.meritum.org.uk
1-19829027443,1-17576662933,Dios-Protege Health Limited,Registered,05/09/2024,Dios-Protege Health Limited,Sevenoaks,TN13 1YH,South East,Kent,Sevenoaks,51.2711815,0.1902153,7848894074,Personal care,Homecare agencies,,,0,www.sylviancare.co.uk
1-19829538094,1-18580135833,Noblewave Solutions Ltd,Registered,14/08/2024,7 Crete Hall Road,Gravesend,DA11 9GP,South East,Kent,Gravesham,51.4449679,0.3527348,,Personal care,Homecare agencies,,,0,
1-19831874755,1-17026760732,Making a Difference (South East) Ltd,Registered,30/07/2024,Unit 5,Rochester,ME1 3EZ,South East,Kent,Chatham and Aylesford,51.3500331,0.5014174,1634541055,Personal care,Homecare agencies,,,0,
1-19832179228,1-19830337486,Braeburn Care,Registered,13/08/2024,Pluto House,Tunbridge Wells,TN1 1DJ,South East,Kent,Tunbridge Wells,51.1301738,0.2615624,1892577680,Personal care,Homecare agencies,,,0,www.braeburncare.co.uk
1-19832527775,1-6192052130,Royal Care Canterbury,Registered,29/08/2024,Unit 19,Canterbury,CT1 3AA,South East,Kent,Canterbury,51.2700498,1.1065112,3301246605,Personal care,Homecare agencies,,,0,www.royalcare24.co.uk
1-19832405012,1-17590282861,Empowering Support Services Ltd,Registered,14/08/2024,21 Cranford Road,Maidstone,ME16 9FZ,South East,Kent,Maidstone and Malling,51.2806259,0.4854532,,Personal care,Homecare agencies; Supported living,,,0,
1-19879480687,1-4776814132,AZ Caring Services Romney Marsh,Registered,09/08/2024,23 High Street,New Romney,TN28 8BN,South East,Kent,Folkestone and Hythe,50.9852895,0.9389842,,Personal care,Homecare agencies,,,0,www.azcaringservices.co.uk
1-19882630970,1-18274505656,Care Quality Care LTD,Registered,18/09/2024,"Block A, Unit 5, Lakesview International Business Park",Canterbury,CT3 4AL,South East,Kent,Herne Bay and Sandwich,51.3172329,1.1747832,8000025124,Personal care,Homecare agencies; Supported living,,,0,www.carequalitycare.co.uk
1-19880696060,1-15976487595,Myable Care Limited,Registered,13/09/2024,"Regus 26, Kings Hill Avenue",West Malling,ME19 4AE,South East,Kent,Maidstone and Malling,51.276847,0.396749,,Personal care,Homecare agencies; Supported living,,,0,
1-19883402219,1-17188771157,Advanced Flourish Care Limited,Registered,28/08/2024,3 Ashley Road,Gillingham,ME8 6TT,South East,Medway,Gillingham and Rainham,51.3701927,0.5900583,7450853098,Personal care,Homecare agencies; Supported living,,,0,
1-19884306649,1-10489607631,Initjames Limited,Registered,21/08/2024,"Unit 3, 122 High Street",Rochester,ME2 4TR,South East,Medway,Rochester and Strood,51.3960658,0.4926034,2080502184,Personal care,Homecare agencies,,,0,
1-19883404929,1-16969324967,Ezzie-Daisy Care Services Limited,Registered,30/06/2025,34 Brenchley Avenue,Gravesend,DA11 7RQ,South East,Kent,Gravesham,51.416448,0.3668485,7832238516,Personal care,Homecare agencies,,,0,www.ezziedaisy.com
1-19885503608,1-19885517418,SureCare East Surrey & Sevenoaks,Registered,25/09/2024,Amherst House,Sevenoaks,TN13 2BT,South East,Kent,Sevenoaks,51.2846269,0.170391,1732671183,Personal care,Homecare agencies,,,0,www.surecare.co.uk/eastsurrey
1-19885632675,1-18274532023,HNI Solution Care Ltd,Registered,27/08/2024,Old Library,Maidstone,ME14 1LH,South East,Kent,Maidstone and Malling,51.275824,0.519996,7424473746,Personal care,Homecare agencies; Supported living,,,0,www.hnisolutioncare.co.uk
1-19888109120,1-16495075930,Averley Qwara Healthcare Ltd,Registered,05/09/2024,10 Halfway Road,Sheerness,ME12 3AU,South East,Kent,Sittingbourne and Sheppey,51.4226571,0.7770182,1795483997,Personal care,Homecare agencies,,,0,
1-19888835264,1-101669407,London Care - Montgomery Court,Registered,12/09/2024,Choir Close,Rochester,ME3 8FP,South East,Medway,Rochester and Strood,51.410791,0.513735,,Personal care,Supported housing,,,0,
